date,title,sessions,pageViews, totalRevenue ,totalSales , totalCost , totalProfit , customerSatisfaction ,employeeSatisfaction,customerRetentionRate,stockTotal
2/8/18,"Unity 11"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity (White/Grey Dots)",841,1189,3579.23,326,2428.7,1150.53,95,94,2,143
2/21/18,"Unity 11"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity (White Grey/White Dots)",729,1075,3519.41,325,1950,1569.41,94,98,2,362
1/26/18,"Unity 13"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by (White Grey/White Dots)",1558,2166,5044.89,313,1774.71,3270.18,98,96,2,389
2/26/18," 16-Piece Melamine Dinnerware Set, Service for 4, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (White)",2529,3101,11211.53,284,2911,8300.53,94,99,2,746
1/30/18, Clean Between Flossers Dental Floss Picks - 4 Pack - 4 x 100 Count - Included Holder - Pharmacy Quality - By Unity (Plain),789,916,4520.94,282,3821.1,699.84,93,98,3,119
1/11/18," 6-Pack Melamine 6"" Round Bowls, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Blue)",1217,1535,3554.28,281,966.64,2587.64,92,96,3,373
2/11/18," 6-Pack Melamine 10.3"" Dinner Plate, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Blue)",1646,2155,4878.45,281,1646.66,3231.79,96,96,3,181
2/27/18," 2-Slice Toaster, 7 Temperature Levels, Sleek Unibody Frame - Quick Bagel Button - 750W ETL-Listed, By Unity",1899,2301,5018.12,273,1482.39,3535.73,94,94,2,636
3/3/18,Unity 12-Piece Paint Brush Set -Long Pro Style Wooden Handles - Pure Bristle and Synthetic Filament Blend - Interior Exterior - DIY Value Pack,1502,1806,3923.15,267,2488.44,1434.71,94,90,2,402
1/3/18," Dish Drainer Rack - Two Tier - Chrome Plated Steel - Modern Design - Super S - Removable Accessories Included: Cutlery Basket, Cup Drainer, & Drip Tray - by Unity",2943,3935,5070.38,246,2952,2118.38,90,91,3,482
1/17/18, 12-Piece MultiColor Classic Wide Rim Melamine Set - Indoor/Outdoor Dinnerware Set - Service For 4 - by Unity (Assorted Colors),4403,5383,6507.22,241,1631.57,4875.65,100,92,2,445
2/16/18,"Professional Die-Cast Aluminum Casserole - 5QT - Induction Bottom, Extra Thick Gauge, Ultra Non-Stick Stone Finish, Glass Lid with Steam Hole - By Unity",2612,3462,7342.65,236,4484,2858.65,94,99,2,382
2/23/18," Outdoor Extension Cord UL listed - 50FT - Heavy Duty & Durable, General Purpose, 16 Gauge, Orange Cord, by Unity",577,736,4694.24,236,1677.96,3016.28,97,91,2,470
2/23/18,"Sports Water Bottle Single Pack Purple - Bonus Insulating Sleeve - Eastman Tritan, BPA-Free, Leak-Proof - Secured & Locking Lid, Break-Resistant - 30oz (900mL) - by Unity",2297,2781,2950.93,230,1830.8,1120.13,95,94,3,383
2/28/18,"Luxury Real Wood Veneer Natural Toilet Seat - 16.5"" Standard Round - Premium Hinges - Heavy Duty - By Unity (Oak)",1114,1538,7162.83,224,4256,2906.83,93,91,2,729
3/14/18," 12-Piece Melamine Dinnerware Set, Service for 4, Break & Chip Resistant, Indoor/Outdoor, Square Design, by Unity (Tropical Yellow)",2507,3191,5312.02,215,2098.4,3213.62,100,100,2,787
2/4/18," 16-Piece Melamine Dinnerware Set, Service for 4, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Blue)",2355,2825,6242.5,210,1230.6,5011.9,98,96,2,308
3/4/18,"Sports Water Bottle Single Pack Pink- Bonus Insulating Sleeve - Eastman Tritan, BPA-Free, Leak-Proof - Secured & Locking Lid, Break-Resistant - 30oz (900mL) - by Unity",2321,2773,2301.7,208,1154.4,1147.3,93,99,2,768
1/13/18," Premium Outdoor Extension Cord UL listed - Super Heavy Duty & Durable - 12 Gauge - .15AMP-125V-1875W - Industrial Blue Cord, Premium Lighted Plug, by Unity (100 Ft)",859,1094,16713.03,205,8402.95,8310.08,96,93,3,450
2/17/18," Value Rainbow Food Container Storage Set - 7 Containers with 7 Colorful Lids - BPA-Free, Non-Toxic, Dishwasher-Safe, Microwave-Safe - Great for Everyday Use! - by Unity (Square)",1366,1767,2372.86,203,1463.63,909.23,91,92,3,364
2/27/18,"Unity 9"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity (Turquoise/White Dots)",721,956,2054.99,202,1010,1044.99,100,100,2,264
1/24/18,"Premium Heavy Duty Velvet Hangers - 50 Pack Bulk - Navy - Non-Slip, Ultra Thin, 10lbs Capacity - Great for Suits, Pants, & Dresses - by Unity",649,817,6242.5,201,2007.99,4234.51,95,93,3,785
2/19/18," 6-Pack Melamine 8.3"" Deep Salad Plate, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Turquoise)",708,884,2928.99,196,2009,919.99,98,98,2,228
2/11/18," 12-Piece Party Bulk Pack Signature Melamine Blend Set - Classic Wide Rim Design - Indoor/Outdoor Reusable Dinnerware - Great Paper Plate Replacement! - by Unity (10.5"" Dinner Plate, Silver)",3520,4608,6503.12,194,1594.68,4908.44,95,92,2,763
1/20/18," Belgian Waffle Maker, Brushed Stainless Steel, 180 Degree Rotation, Dual Nonstick Surfaces, Variable Temperature Control, 1050W - Great for Making Thick, Fluffy & Crispy Waffles - by Unity",1265,1575,5874.12,192,1918.08,3956.04,91,93,2,437
3/9/18,"Unity 13"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by (White Grey/Whit Dots)",851,1183,3023.94,188,1927,1096.94,92,91,2,334
1/4/18,"Unity 13"" Non-Slip Foldable Step Stool Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect Kitchen, Bathroom, Bedroom & More (White/Grey Dots)",884,1166,3098.79,183,1504.26,1594.53,97,97,3,536
1/25/18," Children's Step Stool - Comfortable Soft Non-Slip Grips - 5"" Strong Durable Construction - Safe & Portable - Supports 70 Lbs - By Unity",743,962,1956.27,178,1658.96,297.31,97,98,2,233
3/8/18," Indoor Extension Cord Multi-Pack UL listed - 9FT - 3 Pack - Flexible & Durable, General Purpose, 16 Gauge, White Cord, by Unity",275,386,2645.37,170,1659.2,986.17,99,99,2,683
1/3/18," 12-Piece Melamine Dinnerware Set, Service for 4, Break & Chip Resistant, Indoor/Outdoor, Square Design, by Unity (Festive Orange)",1938,2399,4253.61,166,1321.36,2932.25,96,91,2,377
1/5/18,"Handi-Craft Classic Value Wood Toilet Seat - Sculptured Shell Pattern - 16.5"" Standard Round - Easy Installation & Cleaning, by Unity",846,1114,3973.81,161,1089.97,2883.84,91,96,2,537
2/24/18," Premium Heavy Duty Velvet Hangers - 50 Pack Bulk - Taupe - Non-Slip, Ultra Thin, 10lbs Capacity - Great for Suits, Pants, & Dresses - by Unity",903,1113,5468.43,161,874.23,4594.2,94,93,2,240
2/7/18,2 Pack Folding Umbrellas - Value Pack - Great For Travel - Auto Open - Designer Colors - Classic Value by Unity (Navy),677,917,3188.61,160,1360,1828.61,95,95,2,533
1/11/18,"Unity 11"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity",581,717,1724.81,156,848.64,876.17,100,93,3,449
3/19/18," 6-Pack Melamine 10.5"" Square Dinner Plate - Break-Resistant - Indoor/Outdoor - by Unity (Ocean Blue)",952,1220,2856.34,152,522.88,2333.46,93,95,2,368
3/23/18, Classic Stainless Steel 2-Slice Toaster - 7 Temperature Level - Extra Wide Slots - Digital Control Buttons - by Unity,1392,1640,3813.35,151,1407.32,2406.03,100,94,3,78
3/28/18," 6-Pack Melamine 6"" Round Bowls, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Red)",768,930,2226.91,149,1108.56,1118.35,93,100,2,434
1/30/18,"Luxury Real Wood Veneer Natural Toilet Seat - 16.5"" Standard Round - Premium Hinges - Heavy Duty - By Unity (Walnut)",708,945,4585.41,148,1216.56,3368.85,92,94,3,615
3/30/18, 12 Piece Melamine Dinnerware Set - Service For 4 - Break Resistant - Indoor Outdoor by Unity,1373,1678,3290.39,144,843.84,2446.55,95,92,2,680
1/19/18,"Premium Heavy Duty Velvet Hangers - 50 Pack Bulk - ABS Material And Chrome Hook - Non-Slip, Ultra Thin, 10lbs Capacity - Great for Suits, Pants, & Dresses - by Unity (Gray)",668,874,5468.43,142,2556,2912.43,91,94,2,510
1/23/18," Indoor/Outdoor 6FT Extension Cord - 3 x 3-Wire Grounded Outlets - Heavy Duty & Durable - 16 Gauge, UL-Listed, by Unity",297,371,2064.23,142,613.44,1450.79,94,91,3,100
2/9/18,"Premium Heavy Duty Velvet Hangers - 50 Pack Bulk - ABS Material And Chrome Hook - Non-Slip, Ultra Thin, 10lbs Capacity - Great for Suits, Pants, & Dresses - by Unity (Chocolate Brown)",512,645,4294.84,141,799.47,3495.37,96,95,3,390
3/13/18," 6-Pack Melamine 10.3"" Dinner Plate, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Red)",1030,1270,3001.86,140,947.8,2054.06,95,99,2,380
1/18/18,"Luxury Real Wood Veneer Natural Toilet Seat - 16.5"" Standard Round - Premium Hinges - Heavy Duty - By Unity (Teak)",561,771,4255.74,139,1424.75,2830.99,99,92,2,514
2/5/18," Chair Pads - Cotton Canvas - Value 4 Pack - Fits 17"" Chair - Solid Color - Classic Design, by Unity (French Toast)",2114,2886,8095.14,137,743.91,7351.23,94,91,3,509
1/20/18,"Unity Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Cross Stitch - Classic Design (Black)",1628,2072,6475.14,130,924.3,5550.84,100,92,3,269
3/8/18," Heavy Duty Die-Cast Deep Fryer & Multi-Cooker - 6L Capacity - Included Aluminum Basket & Tempered Vented Glass Lid - Adjustable Temperature Gauge - ETL Listed, by Unity",1786,2232,4843.07,130,761.8,4081.27,90,100,2,427
3/24/18,"Unity Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Cross Stitch - Classic Design (Gray)",4245,5741,5635.77,127,1239.52,4396.25,100,92,2,307
2/26/18," 6-Pack Melamine 10.5"" Square Dinner Plate - Break-Resistant - Indoor/Outdoor - by Unity (Tropical Yellow)",1238,1613,2353.51,126,1704.78,648.73,100,91,3,409
3/20/18," 6-Pack Melamine 8.3"" Deep Salad Plate, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (White)",384,497,2501.16,126,1679.58,821.58,100,100,2,220
2/2/18," 6-Pack Melamine 18oz Tumbler Cups, Break & Chip Resistant, Indoor/Outdoor - Great for Parties! - Wave Rim Design, by Unity (Turquoise)",507,640,1788.11,123,423.12,1364.99,100,96,2,102
1/8/18," Premium Heavy Duty Velvet Hangers - 50 Pack Bulk - Black - Non-Slip, Ultra Thin, 10lbs Capacity - Great for Suits, Pants, Dresses - by Unity",822,1052,3856.11,122,1653.1,2203.01,94,98,2,334
1/10/18," 3 Outlet Outdoor Extension Cord UL Listed - 15FT - Heavy Duty & Durable, 14 Gauge, Safety Yellow Cord, Premium Lighted Plug, by Unity",444,562,2089.08,122,971.12,1117.96,91,90,2,190
2/7/18,"Unity Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Cross Stitch - Classic Design (Blue)",3881,5155,5435.92,122,2440,2995.92,93,90,3,722
2/22/18," Indoor Extension Cord Multi-Pack UL-Listed - 6 FT, 9 FT, 12 FT - 3 PACK - Flexible & Durable, General Purpose, 16 Gauge, Brown Cord, by Unity",339,417,2219.83,122,1626.26,593.57,91,98,2,445
3/23/18," 6-Pack Melamine 8.3"" Deep Salad Plate, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Blue)",659,852,1967.45,115,1201.75,765.7,98,94,2,257
1/20/18,"Handi-Craft Classic Value Beveled Wood Toilet Seat - 16.5"" Standard Round - Easy Installation & Cleaning, by Unity (Black)",394,501,2036.4,113,928.86,1107.54,94,95,3,789
3/17/18," Indoor Extension Cord Multi-Pack UL-Listed - 6FT - 3 Pack - Flexible & Durable, General Purpose, 16 Gauge, Brown Cord, by Unity",252,324,1306.07,112,608.16,697.91,97,93,2,398
2/14/18,2 Pack Folding Umbrellas - Value Pack - Great For Travel - Auto Open - Designer Colors - Classic Value by Unity (Black),398,548,2080.83,109,810.96,1269.87,98,95,2,294
1/15/18," Chair Pads - Cotton Canvas - Value 4 Pack - Fits 17"" Chair - Solid Color - Classic Design, by Unity (Gray)",2370,3137,6196.28,108,1787.4,4408.88,97,99,3,564
1/24/18," Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Cabana Stripe - Classic Design, by Unity (Navy)",2799,3614,5276.04,108,371.52,4904.52,93,95,2,94
2/4/18," Chair Pads - Cotton Canvas - Value 4 Pack - Fits 17"" Chair - Solid Color - Classic Design, by Unity (Black)",1448,2008,6546.07,108,778.68,5767.39,95,98,2,77
1/7/18,"Unity Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Cross Stitch - Classic Design (Navy)",3074,3981,4996.25,107,851.72,4144.53,91,98,2,389
1/14/18," Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Cabana Stripe - Classic Design, by Unity (Stripe Stone)",2092,2743,5355.98,106,1058.94,4297.04,96,93,2,599
1/18/18,"Unity Scented Color Changing Candles - 3-Pack - Natural Fragrances - Peaceful, Ambient Light for Your Home & Bath - Glass Jar - Color Changing Fiber-Optic Wick - No Batteries Required!",477,600,1597.77,105,582.75,1015.02,100,91,3,449
3/27/18,"Unity Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Leaf Pattern - Classic Design, by Unity (Blue)",2067,2692,4676.49,104,1015.04,3661.45,96,95,3,257
1/15/18," 8 Piece - 5.5"" Bowl - Break Resistant - Indoor Out Door - 4 Fun Assorted Colors - Dinner Ware Pack - Mix And Match By Unity",624,827,1564.64,103,584.01,980.63,96,100,3,580
2/2/18,"Unity 9"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity (White Grey/White Dots)",343,430,1041.7,103,766.32,275.38,94,92,3,483
3/31/18," 5-Piece Bakeware Gift Set, Charcoal Gray, 4 Pans & Rubber Spatula, by Unity",466,573,1140.88,101,347.44,793.44,96,98,2,530
1/29/18,"Unity Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Leaf Pattern - Classic Design, by Unity (Gray)",1662,2150,5236.07,100,432,4804.07,93,96,2,278
2/11/18," Indoor/Outdoor Extension Cord - 20FT - Heavy Duty, Durable & Flexible, General Purpose, 16 Gauge, 2-Prong, Safety Yellow, UL-Listed - by Unity",377,450,1141.61,100,745,396.61,94,100,2,790
2/12/18,"Unity 24 Pack Heavy Duty Executive Quality Metal Pants Hangers With White Grips,  Collection",523,668,2940.16,100,390,2550.16,100,96,2,479
2/15/18," Chair Pads - Cotton Canvas - Value 4 Pack - Fits 17"" Chair - Solid Color - Classic Design, by Unity (Red)",2170,2838,6496.1,100,3856,2640.1,99,91,3,725
1/28/18," Copper Pan System - 4 Piece Set - 4.5 Quart - Ceramic Interior - Induction Bottom - Multi-Layer Construction - Fry, Steam, Bake, Roast, Boil - Durable & Hardwearing - Gift Box - by Unity",929,1213,3533.99,99,1341.45,2192.54,91,95,3,312
2/1/18," Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Solid Color - Classic Design, by Unity (Black)",821,1103,4476.64,99,2178,2298.64,96,94,3,194
3/24/18," 6-Pack Melamine 10.5"" Square Dinner Plate - Break-Resistant - Indoor/Outdoor - by Unity (Meadow Green)",783,992,2107.08,98,543.9,1563.18,95,99,3,295
1/29/18,"Unity 11"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity (Turquoise/White Dots)",315,407,947.15,92,732.32,214.83,100,99,3,352
2/7/18," Chair Pads - Cotton Canvas - Value 4 Pack - Fits 17"" Chair - Solid Color - Classic Design, by Unity (Navy)",1320,1767,5946.43,91,932.75,5013.68,92,97,3,453
1/31/18," 16-Piece Melamine Dinnerware Set, Service for 4, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Red)",1785,2093,2521.97,89,483.27,2038.7,92,90,3,667
1/31/18,"Unity Chair Pads - Cotton Canvas - Value 4 Pack - Fits 15"" Chair - Leaf Pattern - Classic Design, by Unity (Green)",992,1290,4876.34,88,515.68,4360.66,95,99,2,111
2/20/18,"Professional Die-Cast Aluminum Casserole - 8QT - Induction Bottom, Extra Thick Gauge, Ultra Non-Stick Stone Finish, Glass Lid with Steam Hole - By Unity",715,975,3184.09,88,723.36,2460.73,90,92,3,738
